2025-07-21 00:56:16.309 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:56:16.608 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:56:16.608 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:21 - FeedbackLoopNode initialized with inline prompt chain.
2025-07-21 00:56:16.608 | INFO     | workflows.graphs.campaign.subgraphs.media_ad_gen_subgraph:__init__:24 - Initializing CampaignWorkflow...
2025-07-21 00:56:16.608 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:56:16.911 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:56:16.912 | INFO     | workflows.graphs.campaign.nodes.email_ad_generator_node:__init__:21 - EmailAdGeneratorNode initialized.
2025-07-21 00:56:16.912 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:56:17.211 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:56:17.211 | INFO     | workflows.graphs.campaign.nodes.web_ad_generator_node:__init__:21 - WebAdGeneratorNode initialized.
2025-07-21 01:00:02.800 | INFO     | __main__:__init__:28 - Initializing CampaignWorkflow...
2025-07-21 01:00:02.801 | INFO     | workflows.graphs.campaign.nodes.check_external_logs_node:__init__:14 - CheckExternalLogsNode initialized.
2025-07-21 01:00:02.801 | INFO     | workflows.graphs.campaign.nodes.analytics_node:__init__:14 - AnalyticsNode initialized. Ready to process external user logs.
2025-07-21 01:00:02.802 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:03.223 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:03.224 | INFO     | workflows.graphs.campaign.nodes.segmenting_node:__init__:35 - UserSegmenter initialized with structured prompt.
2025-07-21 01:00:03.224 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:03.527 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:03.527 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:26 - RecommendNode initialized with inline prompt chain.
2025-07-21 01:00:03.528 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:03.836 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:03.836 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:19 - GenerateAdNode initialized with inline prompt chain.
2025-07-21 01:00:03.837 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:04.142 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:04.143 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:243 - HumanReviewRouter initialized successfully with inline prompt.
2025-07-21 01:00:04.143 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:04.444 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:04.444 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:21 - FeedbackLoopNode initialized with inline prompt chain.
2025-07-21 01:00:04.444 | INFO     | workflows.graphs.campaign.subgraphs.validation_subgraph:__init__:222 - Initializing ValidationWorkflow...
2025-07-21 01:00:04.444 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:04.748 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 01:00:04.748 | INFO     | workflows.graphs.campaign.nodes.campaign_objective_validator_node:__init__:112 - CampaignObjectiveValidatorNode initialized.
2025-07-21 01:00:04.748 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 01:00:05.047 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
